subject,session,label,channels,n_channels,rest_retention,task_retention,rest_alpha_windows,task_alpha_windows,task_vs_rest_alpha_power_pct,task_alpha_index_rest_100
S01,1,S01-1,PO3|O1,2,0.9144161278052492,0.9335253711500111,24,21,-22.22766658360394,77.77233341639605
S03,2,S03-2,PO3|PO4|O1|Oz|O2,5,0.9769850402761795,0.9867821029674179,21,74,-16.012807405992856,83.98719259400715
S02,1,S02-1,PO3|PO4|O1|Oz|O2,5,0.9321164579876301,0.9674775595160661,30,37,-11.880184241265674,88.11981575873433
S03,1,S03-1,PO3|PO4|O1|Oz|O2,5,0.9745460716103852,0.6806985533689561,28,26,-2.2061854311027127,97.79381456889729
S01,2,S01-2,PO3,1,0.9208025343189018,0.7168895599654875,26,66,4.057193401887699,104.05719340188769
S02,2,S02-2,PO3|PO4|O1|Oz|O2,5,1.0,0.9934296977660972,25,75,39.09204234112059,139.0920423411206
